month,exchangeRate,avgTemp,maxTemp,minTemp,rainfall,retailPrice,wholesalePrice,exportVolume,exportValue,importVolume,importValue,production
14-Jan,"1,065",0.7,3.5,4.9,13,943,407,"239,150","268,976,921,850","44,000","23,372,490",211567000
14-Feb,"1,071",1.9,6.6,1.8,16.2,892,357,"354,935","210,467,565",0,0,211567000
14-Mar,"1,071",7.9,13.1,3.5,7.2,786,310,"968,363","497,062,881",0,0,211567000
14-Apr,"1,045",14,19.6,9.4,31,796,307,"1,525,647","870,870,605","24,000","12,497,155",211567000
14-May,"1,025",18.9,25.3,13.8,63,736,283,"3,135,569","1,669,132,550",0,0,211567000
14-Jun,"1,019",23.1,27.8,19.7,98.1,731,340,"1,517,717","872,647,144","24,000","12,186,221",211567000
14-Jul,"1,020",26.1,30.6,22.9,207.9,"1,060",639,"576,890","483,739,080",0,0,211567000
14-Aug,"1,025",25.2,29,22.1,172.8,"1,353",665,"1,144,727","856,513,575",0,0,211567000
14-Sep,"1,033",22.1,27,18,88.1,"1,473",751,"429,382","294,895,675","24,000","12,370,175",211567000
14-Oct,"1,060",15.6,21.4,10.7,52.2,"1,030",406,"2,323,127","1,240,929,280","24,000","12,678,660",211567000
14-Nov,"1,095",9,13.8,4.9,41.5,790,359,"370,048","204,233,925",0,0,211567000
14-Dec,"1,104",2.9,1.5,6.7,17.9,761,334,"1,339,666","666,698,976","48,360","26,681,472",211567000
15-Jan,"1,089",0.9,3.6,4.8,11.3,768,330,"567,405","353,535,138",0,0,177914666.7
15-Feb,"1,098",1,6,2.9,22.7,787,363,"468,097","253,767,564","17,000","9,202,338",177914666.7
15-Mar,"1,113",6.3,12.4,1,9.6,924,422,"725,126","408,181,620","7,000","4,795,917",177914666.7
15-Apr,"1,089",13.3,18.8,8.4,80.5,"1,054",444,"1,056,672","558,174,573","24,000","13,794,363",177914666.7
15-May,"1,091",18.9,24.9,13.6,28.9,"1,280",855,"500,854","352,454,096",0,0,177914666.7
15-Jun,"1,112",23.6,29.5,18.9,99,"1,346",663,"1,647,870","1,467,624,272","253,004","97,331,136",177914666.7
15-Jul,"1,143",25.8,30,22.6,226,"1,158",565,"1,693,460","1,461,267,207","16,170","14,868,144",177914666.7
15-Aug,"1,179",26.3,30.8,22.8,72.9,"1,118",579,"1,428,699","1,203,957,072",0,0,177914666.7
15-Sep,"1,185",22.4,28.1,17.5,26,"1,113",556,"3,901,417","2,935,214,190",0,0,177914666.7
15-Oct,"1,148",15.5,21.2,10.8,81.5,"1,028",392,"3,377,183","2,014,430,040",0,0,177914666.7
15-Nov,"1,152",8.9,12.7,5.9,104.6,852,367,"1,071,978","691,470,720",0,0,177914666.7
15-Dec,"1,172",1.6,6,2.1,29.1,872,382,"1,647,942","902,694,324",0,0,177914666.7
16-Jan,"1,202",3.2,1.1,6.8,1,958,443,"738,666","424,474,280","16,200","13,403,502",149449250
16-Feb,"1,217",0.2,5.1,4.1,47.6,"1,223",772,"1,439,884","1,078,436,031",1,15821,149449250
16-Mar,"1,188",7,12.6,2.4,40.5,"1,558","1,132","749,278","736,328,340",0,0,149449250
16-Apr,"1,148",14.1,20.3,9.1,76.8,"1,797","1,399","27,772","55,711,292",0,0,149449250
16-May,"1,172",19.6,25.7,14.1,160.5,"1,564","1,058","734,434","562,476,788","57,750","16,323,616",149449250
16-Jun,"1,171",23.6,28.7,19.5,54.4,"1,192",566,"2,907,328","1,915,452,711",0,0,149449250
16-Jul,"1,144",26.2,29.8,23.3,358.2,"1,265",733,"1,238,680","886,386,072",0,0,149449250
16-Aug,"1,112",28,32.6,24.5,67.1,"1,948","1,441","140,306","116,905,672",0,0,149449250
16-Sep,"1,107",23.1,27.9,19.3,33,"3,154","1,980","55,694","58,119,714","224,520","104,433,273",149449250
16-Oct,"1,125",16.1,21.3,11.6,74.8,"2,025",963,"1,690,356","1,195,930,125",0,0,149449250
16-Nov,"1,162",6.8,11.6,2.8,16.7,"1,404",697,"4,188,705","2,963,357,964","50,775","17,617,082",149449250
16-Dec,"1,182",1.2,5.8,2.7,61.1,"1,640",843,"886,941","733,173,324","31,500","24,913,014",149449250
17-Jan,"1,185",1.8,2.9,5.8,14.9,"1,671",911,"195,334","200,141,760",120,50955,199640500
17-Feb,"1,145",0.2,4.8,4.7,11.1,"1,602",907,"542,759","456,011,135",0,0,199640500
17-Mar,"1,135",6.3,12.3,1.7,7.9,"1,592",847,"754,310","581,468,445","23,000","10,178,680",199640500
17-Apr,"1,133",13.9,20,9.1,61.6,"1,507",678,"1,661,983","971,457,993","15,967","12,993,244",199640500
17-May,"1,125",19.5,25.4,14.4,16.1,895,489,"3,715,350","1,850,668,875",0,0,199640500
17-Jun,"1,130",23.3,28.8,18.7,66.6,887,445,"5,613,881","3,036,913,420",0,0,199640500
17-Jul,"1,134",26.9,30.4,24.3,621,"1,450",799,"1,517,806","986,721,750","14,685","5,995,458",199640500
17-Aug,"1,131",25.9,29.7,22.9,297,"2,405","1,279","25,710","49,879,362","109,825","54,430,506",199640500
17-Sep,"1,132",22.1,27.4,17.5,35,"2,604","1,633","68,550","103,198,780","86,915","35,661,396",199640500
17-Oct,"1,132",16.4,22.5,11.6,26.5,"1,510",599,"1,900,887","2,421,649,112","37,260","13,743,612",199640500
17-Nov,"1,105",5.6,10.5,1.3,40.7,"1,037",557,"4,589,152","2,399,995,910",0,0,199640500
17-Dec,"1,086",1.9,2.2,5.7,34.8,"1,092",600,"2,707,540","1,576,037,952",0,0,199640500
18-Jan,"1,067",4,0.1,7.3,8.5,"1,229",627,"1,796,144","1,121,686,951",0,0,199328833.3
18-Feb,"1,080",1.6,3.3,5.9,29.6,"1,708",855,"2,165,951","1,672,226,640","18,326","12,566,880",199328833.3
18-Mar,"1,072",8.1,13.6,3.8,49.5,"1,715",818,"2,317,983","1,867,265,344",0,0,199328833.3
18-Apr,"1,068",13,18.5,8.1,130.3,"1,724",763,"719,191","550,008,252","48,523","41,470,440",199328833.3
18-May,"1,076",18.2,23.3,13.4,222,"1,291",616,"2,987,984","2,001,978,700","16,170","16,674,772",199328833.3
18-Jun,"1,093",23.1,28.4,18.9,171.5,"1,094",523,"5,095,026","2,896,154,890",0,0,199328833.3
18-Jul,"1,123",27.8,32.1,24.2,185.6,"1,534",949,"1,359,237","1,033,319,466",0,0,199328833.3
18-Aug,"1,121",28.8,33.3,25.2,202.6,"2,714","1,741","114,536","131,043,779",0,0,199328833.3
18-Sep,"1,121",21.5,26,17.6,68.5,"2,571","1,406","856,200","941,086,226",0,0,199328833.3
18-Oct,"1,131",13.1,18.6,8.5,120.5,"1,586",715,"2,130,033","1,664,297,037",0,0,199328833.3
18-Nov,"1,129",7.8,13.2,3.6,79.1,"1,224",667,"2,811,054","2,047,048,608",0,0,199328833.3
18-Dec,"1,123",0.6,4.1,4.7,16.4,"1,125",521,"1,248,605","885,140,739",0,0,199328833.3
19-Jan,"1,122",0.9,4.1,5.1,0,"1,050",440,"2,118,234","1,295,417,442","24,000","8,393,682",154975416.7
19-Feb,"1,122",1,6,3.2,23.8,986,337,"4,773,529","3,046,549,770","15,000","5,268,912",154975416.7
19-Mar,"1,131",7.1,12.4,2.7,26.8,901,315,"1,828,199","1,262,018,433",0,0,154975416.7
19-Apr,"1,141",12.1,17.6,7.2,47.3,908,293,"2,903,879","1,827,464,394",2,45640,154975416.7
19-May,"1,183",19.4,25.6,13.7,37.8,946,349,"4,793,176","3,032,273,881",0,0,154975416.7
19-Jun,"1,176",22.5,27.7,18.1,74,"1,079",517,"4,316,854","3,139,193,232",0,0,154975416.7
19-Jul,"1,175",25.9,30.1,22.7,194.4,"1,267",675,"2,427,707","2,039,462,775",0,0,154975416.7
19-Aug,"1,209",27.2,31.6,23.6,190.5,"1,388",801,"1,274,690","1,278,878,991",0,0,154975416.7
19-Sep,"1,198",22.6,27.1,19,139.8,"2,145","1,372","33,198","49,343,224",0,0,154975416.7
19-Oct,"1,184",16.4,21.8,11.8,55.5,"2,617","1,365","371,708","315,049,376","276,116","73,586,784",154975416.7
19-Nov,"1,167",7.6,12.9,3.1,78.8,"1,836",849,"1,381,422","1,130,875,515","135,275","40,809,990",154975416.7
19-Dec,"1,176",1.4,5.3,2.6,22.6,"1,838",873,"2,465,784","2,326,298,520",0,0,154975416.7
20-Jan,"1,164",1.6,5.9,1.7,60.5,"1,843",930,"666,684","597,066,816",0,0,186886666.7
20-Feb,"1,194",2.5,7.2,1.3,53.1,"1,746",870,"1,598,492","1,525,372,014",0,0,186886666.7
20-Mar,"1,220",7.7,13.3,2.6,16.3,"1,737",853,"681,506","678,230,940",5,54900,186886666.7
20-Apr,"1,225",11.1,16.6,6.3,16.9,"1,803",976,"1,615,561","1,409,260,825",24,194775,186886666.7
20-May,"1,229",18,23.3,13.7,112.4,"1,917","1,239","1,757,025","191,302,453",0,0,186886666.7
20-Jun,"1,210",23.9,29,19.9,139.6,"1,749",836,"5,097,899","3,536,437,960",0,0,186886666.7
20-Jul,"1,199",24.1,28,21.1,270.4,"1,954","1,067","891,027","677,008,156",0,0,186886666.7
20-Aug,"1,187",26.5,29.3,24.4,675.7,"2,969","1,838","113,363","132,179,572",500,"2,647,010",186886666.7
20-Sep,"1,179",21.4,25.6,18,181.5,"4,296","2,455","11,376","39,627,369","231,980","124,002,504",186886666.7
20-Oct,"1,145",14.3,19.5,9.6,0,"2,897","1,081","1,848,628","1,508,276,440","303,058","154,903,615",186886666.7
20-Nov,"1,117",8,12.6,4,120.1,"1,332",568,"6,474,715","5,147,588,385","1,610","5,238,730",186886666.7
20-Dec,"1,095",0.3,3.9,4.2,4.6,"1,152",446,"3,656,465","2,798,526,540","105,600","72,273,285",186886666.7
21-Jan,"1,097",2.4,2.2,6.8,18.9,"1,211",529,"4,203,195","3,036,587,051",0,0,168125583.3
21-Feb,"1,112",2.7,7.9,2.2,7.1,"1,522",779,"1,698,848","1,015,830,904","15,750","17,804,232",168125583.3
21-Mar,"1,131",9,14.8,4.3,110.9,"1,894",979,"415,278","378,704,040","7,350","4,835,025",168125583.3
21-Apr,"1,119",14.2,19.5,9.5,124.1,"2,084","1,003","408,497","352,553,259","12,978","4,671,825",168125583.3
21-May,"1,123",17.1,21.9,12.8,183.1,"1,494",742,"2,046,848","1,478,720,357",0,0,168125583.3
21-Jun,"1,121",22.8,27.6,18.9,104.6,"1,285",557,"4,191,418","2,863,871,387","7,350","3,596,168",168125583.3
21-Jul,"1,144",28.1,32.2,24.6,168.3,"1,356",709,"2,679,104","2,174,914,456","6,028","3,936,504",168125583.3
21-Aug,"1,160",25.9,29.7,22.8,211.2,"1,757",969,"1,427,218","1,194,426,480",0,0,168125583.3
21-Sep,"1,170",22.6,26.9,18.8,131,"2,158","1,264","943,634","862,713,540","1,080",569790,168125583.3
21-Oct,"1,183",15.6,20.5,11.6,57,"1,712",648,"3,093,771","2,430,129,247",0,0,168125583.3
21-Nov,"1,183",8.2,13.1,4,62.4,"1,764",926,"1,879,575","1,569,926,176",0,0,168125583.3
21-Dec,"1,184",0.6,5.1,3.5,7.9,"1,687",822,"2,656,201","2,560,447,360","16,170","16,320,256",168125583.3
22-Jan,"1,194",2.2,2.6,6.2,5.5,"1,691",826,"1,054,807","1,023,345,162",200,470436,183255833.3
22-Feb,"1,198",1.1,3.8,5.3,4.7,"1,636",829,"930,062","949,453,336",0,0,183255833.3
22-Mar,"1,221",7.7,12.7,3.2,102.6,"1,780",954,"1,609,117","1,862,086,050",0,0,183255833.3
22-Apr,"1,232",14.8,20.6,10,20.4,"1,991","1,066","1,016,226","1,297,496,816",0,0,183255833.3
22-May,"1,270",19.1,25,13.9,7.5,"1,854",995,"2,276,613","2,398,819,180",0,0,183255833.3
22-Jun,"1,277",23.3,27.5,19.8,393.8,"1,654",952,"1,362,508","1,234,419,712",0,0,183255833.3
22-Jul,"1,307",27.3,31,24.2,252.3,"2,255","1,430","341,857","386,345,279","74,030","43,476,048",183255833.3
22-Aug,"1,318",25.7,28.9,23.1,564.8,"2,675","1,842","14,287","44,253,168","781,725","574,094,440",183255833.3
22-Sep,"1,392",22.4,27.2,18.2,201.5,"3,624","3,075","12,522","45,458,544","1,081,765","873,251,712",183255833.3
22-Oct,"1,427",14.6,19.7,10.3,124.1,"2,386",995,"1,823,177","1,961,464,299","92,400","62,454,082",183255833.3
22-Nov,"1,364",10,15.4,5.6,84.5,"1,366",685,"3,578,686","3,505,230,388",0,0,183255833.3
22-Dec,"1,296",2.8,1.7,6.6,13.6,"1,154",582,"3,843,824","3,453,346,224",0,0,183255833.3
23-Jan,"1,247",1.5,3.2,5.7,47.9,"1,181",574,"2,701,348","2,330,651,729",0,0,103534000
23-Feb,"1,271",2.3,7.3,1.9,1,"1,219",633,"1,407,770","1,276,988,952",0,0,103534000
23-Mar,"1,306",9.8,16.2,4.2,10.5,"1,399",811,"440,706","420,913,352",0,0,103534000
23-Apr,"1,320",13.8,19,8.8,96.9,"1,569",988,"177,770","236,316,960",0,0,103534000
23-May,"1,328",19.5,25,14.6,155.6,"1,628",998,"1,216,052","1,081,853,872",0,0,103534000
23-Jun,"1,297",23.4,27.9,19.7,195.6,"1,514",755,"2,977,994","2,560,883,699","16,274","16,025,732",103534000
23-Jul,"1,286",26.7,30.2,23.9,459.9,"1,654",0,"466,496","417,714,662",0,0,103534000
23-Aug,"1,318",27.2,30.8,24.3,298.1,"2,228",0,"82,355","96,646,304","73,920","42,840,272",103534000
23-Sep,"1,329",23.7,27.6,20.2,134.5,"2,287",0,"260,199","347,492,301","73,920","43,165,920",103534000
23-Oct,"1,351",15.8,21,11.5,31,"2,468",0,"995,387","992,539,170",100,43232,103534000
23-Nov,"1,310",6.8,11.5,2.9,81.9,"1,182",0,"3,566,024","3,103,256,380",0,0,103534000
23-Dec,"1,304",1.1,5.2,2.5,85.9,"1,208",0,"1,394,899","1,172,582,880",0,0,103534000
24-Jan,1323.57,0.5,3.6,3.9,18.9,"1,217",0,"1,534,527","1,295,502,375",0,0,0
24-Feb,1331.74,3.8,8.2,0.2,74.7,"1,383",0,"584,282","548,206,776",0,0,0
24-Mar,1330.7,6.8,11.7,2.4,29.9,"1,469",0,0,0,0,0,0
